Date,TH21,TH22,TH23,TH24,IT
21/02/2000,0.416,0.419,0.32,0.368,NaN
21/02/2000,0.423,0.426,0.316,0.366,NaN
22/02/2000,0.424,0.433,0.327,0.37,NaN
22/02/2000,0.428,0.422,0.315,0.362,NaN
23/02/2000,0.424,0.427,0.324,0.372,NaN
23/02/2000,0.433,0.431,0.321,0.371,NaN
24/02/2000,0.429,0.427,0.323,0.374,NaN
24/02/2000,0.428,0.421,0.32,0.372,NaN
25/02/2000,0.426,0.422,0.32,0.372,NaN
25/02/2000,0.421,0.416,0.314,0.367,0.00
26/02/2000,NaN,NaN,NaN,NaN,NaN
26/02/2000,NaN,NaN,NaN,NaN,NaN
27/02/2000,NaN,NaN,NaN,NaN,NaN
27/02/2000,NaN,NaN,NaN,NaN,NaN
28/02/2000,0.415,0.418,0.322,0.374,0.00
28/02/2000,0.422,0.418,0.317,0.369,141.82
29/02/2000,0.423,0.42,0.323,0.369,0.00
29/02/2000,0.432,0.424,0.318,0.364,121.13
01/03/2000,0.425,0.425,0.324,0.375,0.00
01/03/2000,0.431,0.418,0.306,0.342,114.39
02/03/2000,0.42,0.421,0.315,0.34,0.00
02/03/2000,0.434,0.426,0.309,0.344,115.03
03/03/2000,0.427,0.429,0.313,0.344,0.00
03/03/2000,0.44,0.431,0.307,0.345,182.90
04/03/2000,NaN,NaN,NaN,NaN,NaN
04/03/2000,NaN,NaN,NaN,NaN,NaN
05/03/2000,NaN,NaN,NaN,NaN,NaN
05/03/2000,NaN,NaN,NaN,NaN,NaN
06/03/2000,0.425,0.426,0.311,0.351,0.00
06/03/2000,0.479,0.43,0.307,0.339,147.83
07/03/2000,NaN,NaN,NaN,NaN,0.00
07/03/2000,NaN,NaN,NaN,NaN,NaN
08/03/2000,0.419,0.417,0.313,0.347,0.00
08/03/2000,0.441,0.423,0.307,0.342,145.77
09/03/2000,0.436,0.427,0.315,0.351,0.00
09/03/2000,0.442,0.428,0.31,0.347,121.29
